CALLOWAY,"","","","","","","","","","",""
Murray Calloway County Hospital ,128 ,0 ,128 ,110 ,"4,137 ","19,068 ","4,141 ","19,109 ",52 ,4.6 ,40.8%
GRAVES,"","","","","","","","","","",""
Jackson Purchase Medical Center ,95 ,12 ,107 ,106 ,"3,770 ","16,790 ","3,641 ","15,231 ",46 ,4.2 ,43.0%
MCCRACKEN,"","","","","","","","","","",""
Baptist Health Paducah ,312 ,0 ,312 ,292 ,"11,783 ","53,850 ","11,792 ","53,875 ",148 ,4.6 ,47.3%
Lourdes Hospital ,286 ,45 ,331 ,213 ,"12,009 ","47,163 ","10,070 ","43,447 ",129 ,4.3 ,39.0%
CHRISTIAN,"","","","","","","","","","",""
Cumberland Hall ,0 ,97 ,97 ,97 ,"1,627 ","20,472 ","1,622 ","20,404 ",56 ,12.6 ,57.8%
Jennie Stuart Medical Center ,194 ,0 ,194 ,139 ,"4,771 ","18,213 ","4,856 ","18,203 ",50 ,3.7 ,25.7%
Western State Hospital ,0 ,495 ,495 ,114 ,"1,954 ","49,628 ","1,972 ","38,198 ",136 ,19.4 ,27.5%
CRITTENDEN,"","","","","","","","","","",""
Crittenden Health System ,48 ,0 ,48 ,48 ,"1,111 ","3,639 ","1,120 ","4,062 ",10 ,3.6 ,20.8%
HOPKINS,"","","","","","","","","","",""
Baptist Health Madisonville ,312 ,22 ,334 ,175 ,"7,014 ","36,594 ","7,025 ","36,704 ",100 ,5.2 ,30.0%
MUHLENBERG,"","","","","","","","","","",""
Owensboro Health Muhlenberg ,90 ,0 ,90 ,90 ,"1,428 ","6,647 ","1,434 ","6,787 ",18 ,4.7 ,20.2%
DAVIESS,"","","","","","","","","","",""
Owensboro Health Regional Hospital ,415 ,12 ,427 ,316 ,"16,419 ","74,737 ","16,626 ","72,363 ",205 ,4.4 ,48.0%
River Valley Behavioral Health ,0 ,80 ,80 ,80 ,685 ,"8,309 ",671 ,"6,564 ",23 ,9.8 ,28.5%
HENDERSON,"","","","","","","","","","",""
